author	difficulty	date	topic1	text	topic2	topic3	answer	hint	solution	topics
25 школа	73	2012.0	комбинаторика	"Сколькими способами можно поставить на шахматную доску а) белого и
черного королей; б) двух белых королей так, чтобы они не били друг
друга?"	шахматы					комбинаторика, шахматы, 
25 школа	73	2012.0	комбинаторика	"Каких семизначных чисел больше: тех, в записи которых есть 1 или
остальных?"	числа					комбинаторика, числа, 
25 школа	72	2012.0	комбинаторика	"В 7М классе учится 26 человек. Сколькими способами их можно
выстроить в ряд при условии, что а) Ваня и Женя должны обязательно
стоять рядом; б) Ваня и Женя ни в коем случае не должны стоять рядом."						комбинаторика, , 
Павел Минаев	82	2017.0	комбинаторика	"Раскроем скобки в выражении $(x + 1)^n$
(a) Пусть все слагаемые приведены. Найдите коэффициент при $x^m$ с помощью комбинаторных размышлений.
(b) Докажите, что этот коэффициент равен найденному в предыдущем пункте числу, по индукции.
(c) Сколько будет слагаемых без приведения подобных слагаемых?
(d) Расскройте скобки у выражения $(x + y)^n$ и выразите коэффициенты прикаждом приведенном члене.
Выражение, полученное Вами в пункте (d) называется биномом Ньютона."						комбинаторика, , 
Павел Минаев	83	2017.0	комбинаторика	"В этой задаче нужно внимательно смотреть на треугольник Паскаля
(a) Пусть есть бесконечная шахматная доска вправо и вверх. В левом нижнем углу стоит хромой король,
умеющий ходить только вправо и вверх. Сколько есть способов добраться до клетки (n;m), где n – число
строк по вертикали, а m – по горизонтали?
(b) Напишем в каждую клетку доски из предыдущей задачи число способов добраться до этой клетки. Как
связан треугольник Паскаля и эта табличка с числами? Докажите свою гипотезу."						комбинаторика, , 
Павел Минаев	81	2017.0	комбинаторика	"Посмотрите на строчки треугольника Паскаля.
(a) Выпишите явно, чему равно $(x + 1)^4$ и $(x + 1)^5$.
(b) Докажите, используя только реккурентное определение треугольника Паскаля, связь между биномом Ньютона и треугольником Паскаля."						комбинаторика, , 
25 школа	70	2017.0	комбинаторика	На дискотеку пришли 10 юношей и 10 девушек. Сколькими способами они могут разбиться на пары перед очередным медленным танцем?						комбинаторика, , 
25 школа	70	2017.0	комбинаторика	Сколькими способами можно 20 человек разбить на пары?						комбинаторика, , 
25 школа	71	2017.0	комбинаторика	Докажите, что количество способов выбрать из n элементов  группу из k равно n!/(k!(n-k)!)						комбинаторика, , 
25 школа	70	2017.0	комбинаторика	"Рота состоит из 3 лейтенантов, 6 сержантов и 60 рядовых. Сколькими способами
можно выбрать из них отряд, состоящий из одного лейтенанта, двух сержантов и 20
рядовых?"						комбинаторика, , 
25 школа	71	2017.0	комбинаторика	"На прямой отмечено 10 точек, а на параллельной ей прямой –11. Сколько
существует трапеций с вершинами в этих точках?"	геометрия					комбинаторика, геометрия, 
25 школа	72	2017.0	комбинаторика	"Сколькими способами можно из 15 слов выбрать набор, состоящий не более чем
из 5 слов?"						комбинаторика, , 
25 школа	70	2017.0	комбинаторика	"В группе Платоны учатся 2 девочки и 8 мальчиков. Сколькими способами
Дмитрий Владимирович может отправить на олимпиаду команду из четырех человек
так, чтобы среди участников была хотя бы одна девочка?"						комбинаторика, , 
25 школа	71	2017.0	комбинаторика	"Сколькими способами можно 10 человек разбить на 2 баскетбольные команды
по 5 в каждой?"						комбинаторика, , 
25 школа	72	2017.0	комбинаторика	"Сколькими способами можно расставить 12 белых и 12 черных шашек на черных
полях шахматной доски?"	шахматы					комбинаторика, шахматы, 
25 школа	73	2017.0	комбинаторика	Сколько существует десятизначных чисел, у которых сумма цифр равна 4?	числа					комбинаторика, числа, 
25 школа	73	2017.0	комбинаторика	"Сколько существует шестизначных чисел у которых четных и нечетных цифр
поровну?"	числа					комбинаторика, числа, 
25 школа	72	2017.0	комбинаторика	"Семен имеет 6 друзей и в течение 5 дней приглашает в гости каких–то троих
из них так, чтобы компания ни разу не повторялась. Сколькими способами он может
это сделать?"	графы					комбинаторика, графы, 
Дарья Анзон	80	2017.0	комбинаторика	"6 карточек пронумерованы числами 1, 2, 3, 4, 5, 6.
Карточки наугад выкладываем в ряд. Сколько при этом можно получить
различных шестизначных чисел?"					"На первое место можно положить одну из 6 карточек. Для этого есть
6 способов. В каждом из этих 6 способов на второе место можно положить одну
из оставшихся 5 карточек. Таким образом, существует $5 \cdot 6=30$ способов, чтобы
положить карточки на первое и второе места. В каждом из этих 30 способов на
третье место можно положить одну из оставшихся 4 карточек. Следовательно,
существует $4 \cdot 5 \cdot 6=120$ способов, чтобы положить карточки на первое, второе
и третье места. И так далее, пока не останется одна карточка. Таким образом,
при выкладывании карточек можно получить 6!=720 шестизначных чисел. Иногда нас может интересовать количество способов расположить не все n
элементов, а только несколько из них. Тогда цепочка из предыдущего
рассуждения оборвется на k-том шаге, а не дойдет до единицы. $n \cdot(n-1) \cdot(n-2) \cdot \ldots \cdot(n-k+1)$. 
Это число размещений k элементов из n можно более коротко записать: $\frac{n !}{(n-k) !}$. (Проверьте, что дробь сокращается до нужного произведения!)"	комбинаторика, , 
Дарья Анзон	81	2017.0	комбинаторика	Вычислите: а) $\frac{24 ! ! 50 !}{25 ! \cdot 49 !}$ б)$\frac{40 !}{38 ! \cdot 5 !}$ в)$\frac{7 !+6 !}{5 !}$ г) $\frac{8 !-6 !}{55}$ д)$\frac{7 ! 4 !}{10 !}\left(\frac{8 !}{5 ! \cdot 3 !}-\frac{9 !}{7 ! \cdot 2 !}\right)$						комбинаторика, , 
Дарья Анзон	81	2017.0	комбинаторика	Упростите выражения: а) $\frac{10 !}{n \cdot(n+1)} \cdot  \frac{(n+1) !}{8 !}$ б)$n ! \cdot\left(\frac{1}{n !}-\frac{1}{(n+1) !}\right)$						комбинаторика, , 
Дарья Анзон	82	2017.0	комбинаторика	Решите уравнения: а) $\frac{(n+1) !}{(n-1) !}=72$ б)$\frac{n !-(n-1) !}{(n+1) !}=\frac{1}{6}$						комбинаторика, , 
Дарья Анзон	82	2017.0	комбинаторика	"Объясните, как найти бесконечно много x, y и z, которые больше 1, и
удовлетворяют условию $x ! \cdot y !=z !$"						комбинаторика, , 
Дарья Анзон	81	2017.0	комбинаторика	"Сколько раз можно разделить число 10! на 2 нацело? (каждый следующий раз
мы делим результат предыдущего действия, а не 10!)"						комбинаторика, , 
Дарья Анзон	81	2017.0	комбинаторика	Сколько раз можно разделить число 100! на 10 нацело?						комбинаторика, , 
Дарья Анзон	82	2017.0	комбинаторика	"Семь девушек водят хоровод. Сколькими различными способами они могут
встать в круг?"						комбинаторика, , 
Дарья Анзон	81	2017.0	комбинаторика	"Сколько различных чисел можно составить из цифр 0, 1, 2, 3, если ни одна из
цифр не будет повторяться? (число с нуля начинаться не может)"						комбинаторика, , 
Дарья Анзон	82	2017.0	комбинаторика	"Код для сейфа фирмы Невлезайубьет должен состоять из десяти различных
цифр и 33 различных букв. Богач Скуперфильд, опасаясь за свои сокровища,
каждый день выбирает новый (т.е. такой, которого еще ни разу не было) код к
своему сейфу. На протяжении скольких дней он сможет это делать?"						комбинаторика, , 
Дарья Анзон	83	2017.0	комбинаторика	"В футбольной команде 2 нападающих, 4 полузащитника, 4 защитника и 1
вратарь. Сколькими способами можно построить их в ряд так, чтобы первым
стоял вратарь, за ним стояли защитники, за ними — полузащитники, и в конце
— нападающие?"						комбинаторика, , 
Дарья Анзон	83	2017.0	комбинаторика	"Человек забыл две последние цифры в семизначном телефонном номере,
помнит только, что все цифры номера были неодинаковые. Сколько
телефонных номеров ему придется опробовать, чтобы дозвониться?"						комбинаторика, , 
Дарья Анзон	82	2017.0	комбинаторика	На гранях кубика расставлены числа от 1 до 6. Кубик бросили два раза. В первый раз сумма чисел на четырёх боковых гранях оказалась равна 12, во второй — 15. Какое число написано на грани, противоположной той, где написана цифра 3? 	кубики					комбинаторика, кубики, 
Дарья Анзон	82	2017.0	неравенства	x, y > 0.  Через S обозначим наименьшее из чисел x, 1/y,  y + 1/x.  Какое максимальное значение может принимать величина S? 						неравенства, , 
Дарья Анзон	81	2017.0	графы	Можно ли нарисовать на поверхности кубика Рубика такой замкнутый путь, который проходит через каждый квадратик ровно один раз (через вершины квадратиков путь не проходит)? 	кубики	стереометрия				графы, кубики, стереометрия
Дарья Анзон	83	2017.0	конструктивы	Придумайте, как оклеить поверхность куба  с ребром 1 см шестью одинаковыми параллелограммами площади 1, которые не будут ни квадратами, ни прямоугольниками. 	стереометрия					конструктивы, стереометрия, 
Дмитрий Трущин	72	2013.0	комбинаторика	"Имеется 6 разноцветных коробок. Сколькими способами можно в эти коробки
разложить 20 шаров при условии, что:
а. Шары разных размеров.
б. Шары одинаковые.
в. Шары одинаковые, и не должно остаться пустых коробок.
г. Шары одинаковые, и в каждой коробке должно оказаться не менее двух шаров."						комбинаторика, , 
Дмитрий Трущин	73	2013.0	комбинаторика	"Сколько решений в целых числах имеет уравнение a + b + c + d + e + f = 20 при
условии, что
а) $a, b, c, d, e, f \geq 0$ б)$a, b, c, d, e, f \geq 1$ в) $a, b, c, d, e, f \geq 2$"	алгебра					комбинаторика, алгебра, 
Дмитрий Трущин	73	2013.0	комбинаторика	"Сколькими способами натуральное число n можно представить ввиде суммы k
а) неотрицательных; б) положительных слагаемых?"						комбинаторика, , 
Дмитрий Трущин	72	2013.0	комбинаторика	"Переплетчик должен переплести 12 одинаковых книг в красный, синий или
зеленый переплеты. Сколькими способами он может это сделать?"						комбинаторика, , 
Дмитрий Трущин	72	2013.0	комбинаторика	"В почтовом отделении продаются открыти 10 видов. Сколькими способами
можно купить а) 8 различных открыток; б) 12 открыток?"						комбинаторика, , 
Дмитрий Трущин	72	2013.0	комбинаторика	"В стране живет n человек. Президента выбирают посредством тайного
голосования, при котором каждый гражданин голосует за одного из граждан
(возможно, за себя самого). Сколькими способами может быть составлен протокол
этого голосования? (Тайным называется голосование, при котором известно, сколько
голосов подано за каждого из кандидатов, но не известно, кто именно как
проголосовал.)"						комбинаторика, , 
Дмитрий Трущин	72	2013.0	комбинаторика	"Сколькими способами можно 4 белых шара, 4 синих шара и 4 красных шара
разложить в 6 различных ящиков?"						комбинаторика, , 
Дмитрий Трущин	72	2013.0	комбинаторика	"Сколькими способами можно выложить в ряд 5 белых, 5 красных и 5 синих
шаров так, чтобы никакие два синих шара не лежали рядом?"						комбинаторика, , 
Дмитрий Трущин	73	2013.0	комбинаторика	"В кошельке лежит а) по 20 монет; б) по 10 монет достоинством 1, 2 и 5 рублей.
Сколькими способами можно из этих монет выбрать 20?"						комбинаторика, , 
Дмитрий Трущин	73	2013.0	комбинаторика	"Сколько решений в целых числах имеет уравнение x + y + z = 20 при условии,
что $0 \leq x, y, z \leq 10$?"	алгебра					комбинаторика, алгебра, 
Дмитрий Трущин	74	2013.0	комбинаторика	Сколько решений в натуральных числах имеет уравнение $x y z=10^{9}$?	алгебра					комбинаторика, алгебра, 
Дмитрий Трущин	73	2013.0	комбинаторика	"На полке стоит 12 книг. Сколькими способами можно выбрать из них 5 книг,
никакие две из которых не стоят рядом?"						комбинаторика, , 
Лев Юманов	50	2016.0	дирихле	Сто человек сидят за круглым столом, причем более половины из них—мужчины. Докажите, что какие-то двое из мужчин сидят друг напротив друга. 						дирихле, , 
Лев Юманов	50	2016.0	дирихле	Имеется 2k +1 карточек, занумерованных числами от 1 до 2k +1. Какое наибольшее число карточек можно выбрать так, чтобы ни один из извлеченных номеров не был равен сумме двух других извлеченных номеров? 						дирихле, , 
Лев Юманов	50	2016.0	комбинаторика	Из двух математиков и десяти экономистов надо составить комиссию из восьми человек. Сколькими способами можно составить комиссию, если в нее должен входить хотя бы один математик? 						комбинаторика, , 
Лев Юманов	50	2016.0	комбинаторика	Найдите сумму всех семизначных чисел, которые можно получить всевозможными перестановками цифр 1,...,7	числа					комбинаторика, числа, 
Лев Юманов	50	2016.0	комбинаторика	"а) На двух клетках шахматной доски стоят черный и белый короли. За один ход можно пойти любым королем (короли дружат, так что могут стоять на соседних клетках, но не в одной и той же). 
Могут ли в результате их передвижений встретиться все возможные варианты расположения этих королей, причем ровно по одному разу? 
б) Тот же вопрос, если короли разучились ходить по диагонали."	шахматы					комбинаторика, шахматы, 
Ирина Шпаковская	30	2017.0	комбинаторика	"У капитана Блада есть пять матросов разного возраста. 
Он желает повысить нескольких из них в должности, но первым повышение должен получить матрос с большим возрастом (то есть нельзя сначала повысить матроса, которому 23, а потом – того, кому 30, а наоборот - можно). 
Для каждого из вариантов выпишите все способы повышения, которые есть у капитана, составив дерево вариантов. Сколько способов получилось, если нужно повысить двух матросов?
А если капитану Бладу нужно повысить трех матросов?"						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"Иногда капитан встает на ночную вахту. Но два дня подряд вставать на ночную вахту капитан не любит. Для каждого из вариантов опишите все способы это сделать и составьте дерево вариантов
Сколькими способами капитан сможет выбрать дни для ночной вахты, если сейчас он собирается находиться в море 3 дня?
А если морское путешествие займет 4 дня?  "						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	В море для сообщения сигналов кораблям используют специальные флаги. На флагшток поднимается сигнал, состоящий из не менее чем двух флагов. Сколько различных сигналов можно поднять на флагштоке, если порядок флагов в сигнале учитывается, но у капитана Блада осталось только 4 флага?						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"Перечислите все способы выбрать гласную и согласную буквы из следующих слов. Сколько их?
КАРАВЕЛЛА
ИЛЛЮМИНАТОР
АДМИРАЛТЕЙСТВО"						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"Капитан подбросил монетку несколько раз. Перечислите все последовательности орлов и решек, которые он мог получить. 
Монетку подкинули 3 раза
А теперь 4 раза "						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	Акула за 30 дней съедает 25 непослушных пиратов. За любые идущие подряд 7 дней она съедает ровно 6 человек. Сколько существует различных кулинарных календарей акулы?						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"Сколькими способами можно переставить буквы в слове?
ЯХТА
ГИНИ
ФЬОРД
МАЧТА
*БРАМСЕЛЬ
*ЛЕВЕНТИК
*АВИАНОСЕЦ"						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	ПОЗДНЕЙ НОЧЬЮ ПО БЕРЕГУ РЕКИ СПЕШИЛ ДОМОЙ УСТАВШИЙ КАПИТАН. Сколько осмысленных предложений можно составить из имеющихся, вычеркивая некоторые слова из этого предложения? (Во все предложения должны входить слова КАПИТАН и СПЕШИЛ)						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"Сколько способов разложить 12 шариков по 3 коробкам так, чтобы пустых не было?
А теперь коробки могут быть еще и пустыми"						комбинаторика, , 
Ираклий Гагуа	30	2010.0	комбинаторика	"Разрежьте уголок из трех клеток на 64 равные части.
Замостите клетчатую плоскость одинаковыми
пятиугольниками,
семиугольниками,
вершины которых лежат в узлах решетки."	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	Какие фигуры могут получиться при пересечении двух треугольников?	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	"Сколько точек пересечения могут иметь прямая и
а.треугольник?   б.  четырёхугольник?   в.  n-угольник?"	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	"Нарисуйте на клетчатой бумаге два многоугольника
с одинаковым периметром, но с различной площадью;
с одинаковой площадью, но различным периметром;
не равных между собой, у которых одинаковы и площадь, и периметр."	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	Площадь одного бумажного треугольника больше площади второго треугольника. Верно ли, что первым треугольником можно покрыть второй?	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	"Нарисуйте на клетчатой бумаге квадрат с площадью
а. 2. ;;б. 5. ;;в. 8.
г. 10. ;д. 13. ;е. 20."	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	На клетчатой бумаге отмечены четыре узла сетки, образующие квадрат 4 на 4. Отметьте ещё два узла и соедините их замкнутой ломаной так, чтобы получился шестиугольник площадью 6 клеток.	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	Нарисуйте замкнутую 6-звенную ломаную, пересекающую каждое свое звено ровно один раз.	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	Нарисуйте замкнутую 7-звенную ломаную, пересекающую каждое свое звено ровно два раза.	геометрия					комбинаторика, геометрия, 
Ираклий Гагуа	30	2010.0	комбинаторика	Дан круг и отмечена точка внутри него. На какое минимальное число частей можно разрезать этот круг так, чтобы из получившихся частей складывался круг, в котором отмеченная точка будет центром?	геометрия					комбинаторика, геометрия, 
Павел Живцов	71	2018.0	комбинаторика	"Сколькими способами можно выбрать порядок пяти блюд на обеде, если десерт нельзя есть
раньше супа?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"У Васи четыре разноцветных M&Ms и четыре красных M&Ms. Сколькими способами их
можно расставить в ряд так, чтобы 4 красных не шли подряд?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"Сколькими способами можно переставить цифры в числе 75571193 так, чтобы в полученном
числе обязательно присутствовало сочетание 57?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"На полке стоит m томов Толстого и n томов Достоевского. Сколькими способами можно
расставить книги на полке если нужно, чтобы все тома Достоевского стояли раньше томов Толстого? А
если нужно, чтобы все тома Достоевского стояли рядом, а Толстого – не обязательно?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	Сколькими способами можно выбрать три пары людей из n человек?						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"Десять человек садятся в купе. Трое из них хотят сидеть по ходу движения, четверо - против
движения, а остальным не имеет значения, как сидеть. В купе стоят два пятиместных дивана напротив
друг друга. Сколькими способами они могут рассесться?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"а) Сколькими способами можно выбрать из чисел 1, 2, . . . 20 два числа так, чтобы их сумма
была четной? б) Сколькими способами можно выбрать из чисел 1, 2, . . . 30 три числа так, чтобы их
сумма была четной?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	Даны шесть цифр 0, 1, 2, 3, 4, 5. Найдите сумму всех четырехзначных четных чисел, записанных этими цифрами (цифры могут повторяться.)						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"Дано 3n + 1 предметов, из них n одинаковых, и 2n + 1 различных. Сколькими способами
можно взять n из них?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"а) У Васи есть три красных M&Ms и пять желтых M&Ms. Он решил раз в год, на свой
День Рождения, съедать по одной штуке, причем ему жалко есть красные конфеты два года подряд. Сколькими способами он может это сделать?. б) Сколько существует восьмизначных последовательностей из пяти нулей и трех единиц таких, что никакие две единицы не стоят рядом? в) В
левом нижнем углу таблицы $4 \times 6$ сидит лягушка, которая может прыгать на одну клетку вверх или на
одну клетку вправо, но теперь она не может прыгать вверх два раза подряд. Сколькими способами она
может добраться до правой верхней клетки?"						комбинаторика, , 
Павел Живцов	71	2018.0	комбинаторика	"За круглым столом сидит 12 человек, причем все соседи друг другу сильно надоели.
Сколькими способами можно выбрать пятерых людей так, чтобы среди них не было соседей?"						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	"Лунтик защитил свой ноутбук паролем из своих инициалов: «Л», «А» и «В» в
каком-то порядке. Но, спустя время, забыл, в каком именно. Сколько паролей
придется перебрать Лунтику, чтобы включить ноутбук?"						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	"В меню «Шоколадницы» есть 4 вида блинчиков и 3 различных молочных коктейля.
Сколькими способами сможете выбрать «Блинчики + коктейль»?"						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	"В вазе лежат 5 шоколадок с разными начинками и 7 мармеладок (всех цветов
радуги). Но можно выбрать только одну сладость. Сколько способов у вас есть? А
если можно выбрать одну шоколадку И одну мармеладку?"						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	А сколько способов есть выбрать 4 шоколадки из этих 5?						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	Сколько различых чисел можно составить из цифр 1, 2, 3? А из 0, 1, 2?						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	"У Мальвины есть красное, желтое и синее блюдце, а также белая, зеленая,
оранжевая и фиолетовая чашки. Сколькими способами Мальвина может составить
пару в подарок Буратино?"						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	"Немного подумав, Мальвина решила добавить к набору еще и ложечку. Но никак не
может выбрать, какую из трех. Сколькими теперь способами Мальвина может
составить чайный набор «чашка-блюдце-ложка»?"						комбинаторика, , 
ЗМШ	30	2012.0	комбинаторика	"Вася решил заказать пиццу. У повара есть 4 начинки: грибы, ветчина, сыр, овощная
смесь. Пицца может быть без начинки, с одной, с двумя, с тремя или со всеми
начинками. Вася не мог выбрать, поэтому попросил приготовить все возможные
варианты пиццы. Сколько пицц ему привезут?"						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	Государство Эндора расположено в Южной Америке, но никто не знает точно, где. Говорят, что оно либо на востоке, либо на западе, либо в горах, либо в долине  либо у моря, либо на реке. Сколько различных мнений можно услышать?						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"а) В чайном магазине «Лорд Эндорий» есть 5 разных чашек и 3 разных блюдца. Сколькими способами можно купить чашку с блюдцем?
б) В магазин «Лорд Эндорий» привезли 4 разных вида чайных ложек. Сколькими способами теперь можно купить комплект из чашки, блюдца и ложечки?"						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"а) Флаг королевства Эндора состоит из трех горизонтальных полос – зеленой, синей и красной, но никто не знает, в каком порядке идут полосы. Сколько разных флагов можно составить?
б) Флаг Новой Эндоры (переименована после прихода к власти Васисуалия III) состоит из четырех полос – зеленой, синей, красной и желтой. Сколько теперь вариантов флага есть?
в) Флаг Старой Эндоры (тогда она была княжеством) состоит из тех же полос, что и флаг Эндоры, но в центре одной из полос – герб. Сколько различных староэндорских флагов можно составить? "						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"В секретной шпионской организации «Рассвет Эндоры» каждый агент имеет номер, состоящий из буквы английского алфавита и цифры. 
а) Когда организация только начинала свое существование, в названиях участвовали цифры от 1 до 4 и буквы от A до D. Сколько было агентов в организации с самого начала?
б) Сейчас в организации используются цифры от 1 до 7 и буквы от A до L. Сколько сейчас агентов в организации?"						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"Для того, чтобы стать министром при дворе короля Васисуалия III, нужно ответить на три вопроса. Помогите Лорду Эндорию стать министром.
а) Сколько всего трехзначных чисел?
б) А сколько всего трехзначных чисел, все цифры которых четные?
в) А трехзначных чисел, в которых первая цифра нечетная, вторая четная, а третья – делится на 3?"						комбинаторика, , 
Ирина Шпаковская	30	2017.0	комбинаторика	"а) Сколько способов можно выбрать из кабинета министров, в котором 25 человек, председателя?
б) А сколько способов выбрать двух секретарей?
в) А председателя и его заместителя? 
Король Эндоры Васисуалий III приказал придумать новые слова. Король очень любит буквы Й, О, С и Г."						комбинаторика, , 
