author;difficulty;date;text;topic1;topic2;topic3;тема 3;hint;solution
Дмитрий Трущин;73;01.10.2013;"Сколько решений в целых числах имеет уравнение a + b + c + d + e + f = 20 при
условии, что
а) $a, b, c, d, e, f \geq 0$ б)$a, b, c, d, e, f \geq 1$ в) $a, b, c, d, e, f \geq 2$";комбинаторика;алгебра;;;;
Дмитрий Трущин;73;01.10.2013;"Сколькими способами натуральное число n можно представить ввиде суммы k
а) неотрицательных; б) положительных слагаемых?";комбинаторика;;;;;
Дмитрий Трущин;72;01.10.2013;"Переплетчик должен переплести 12 одинаковых книг в красный, синий или
зеленый переплеты. Сколькими способами он может это сделать?";комбинаторика;;;;;
Дмитрий Трущин;72;01.10.2013;"В почтовом отделении продаются открыти 10 видов. Сколькими способами
можно купить а) 8 различных открыток; б) 12 открыток?";комбинаторика;;;;;
Дмитрий Трущин;72;01.10.2013;"В стране живет n человек. Президента выбирают посредством тайного
голосования, при котором каждый гражданин голосует за одного из граждан
(возможно, за себя самого). Сколькими способами может быть составлен протокол
этого голосования? (Тайным называется голосование, при котором известно, сколько
голосов подано за каждого из кандидатов, но не известно, кто именно как
проголосовал.)";комбинаторика;;;;;
Дмитрий Трущин;72;01.10.2013;"Сколькими способами можно 4 белых шара, 4 синих шара и 4 красных шара
разложить в 6 различных ящиков?";комбинаторика;;;;;
Дмитрий Трущин;72;01.10.2013;"Сколькими способами можно выложить в ряд 5 белых, 5 красных и 5 синих
шаров так, чтобы никакие два синих шара не лежали рядом?";комбинаторика;;;;;
Дмитрий Трущин;73;01.10.2013;"В кошельке лежит а) по 20 монет; б) по 10 монет достоинством 1, 2 и 5 рублей.
Сколькими способами можно из этих монет выбрать 20?";комбинаторика;;;;;
Дмитрий Трущин;73;01.10.2013;"Сколько решений в целых числах имеет уравнение x + y + z = 20 при условии,
что $0 \leq x, y, z \leq 10$?";комбинаторика;алгебра;;;;
Дмитрий Трущин;74;01.10.2013;Сколько решений в натуральных числах имеет уравнение $x y z=10^{9}$?;комбинаторика;алгебра;;;;
Дмитрий Трущин;73;01.10.2013;"На полке стоит 12 книг. Сколькими способами можно выбрать из них 5 книг,
никакие две из которых не стоят рядом?";комбинаторика;;;;;
